"PDF File Name",Postcode,Retailer,"Offer Name","Offer No.","Customer type","Fuel type",Distributor(s),"Tariff type","Offer type","Release Date","Contract term","Contract expiry details","Bill frequency","All usage Price (exc. GST)","Daily supply charge Price (exc. GST)","First usage Price (exc. GST)","Second usage Price (exc. GST)","Third Usage Price (exc. GST)","Fourth Uage Price (exc. GST)","Fifth Usage Price (exc. GST)","Balance Usage Price",Peak,Shoulder,"Off Peak","Peak - Summer","Peak - Winter","Peak - First usage Price","Peak - Second Usage Price","Peak - Third usage Price","Peak - Fourth Usage Price","Peak - Fifth Usage Price","Peak - Balance Price","Summer Monthly Demand","Winter Monthly Demand","Additional Monthly Demand","First Step","Second Step","Third Step","Fourth Step","Fifth Step","Off peak - Controlled load 1 All controlled load 1 ALL USAGE Price (exc. GST)","Off peak - Controlled load 1 All controlled load 1 Daily Supply Charge Price (exc. GST)","Off peak - Controlled load 2 All controlled load 1 ALL USAGE Price (exc. GST)","Off peak - Controlled load 2 All controlled load 1 Daily Supply Charge Price (exc. GST)",Frequency,"Conditional Discount","Discount %","Discount applicable to","Guaranteed discounts","Discount %","Discount applicability","Are these prices fixed?","Eligibility Criteria","Exit fee 1 year","Exit fee 2 year","Cheque Dishonour payment fee","Contribution Fee","Direct debit dishonour payment fee","Payment processing fee","Disconnection fee","Reconnection fee","Contribution Fee","Other fee","Late payment fee","Credit card payment processing fee","Other fee","Voluntary FiT","GreenPower option",Incentives
electricity-offer-140324-fact-sheet-pdf-2576.pdf,2576,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140324MS,"Small Business",Electricity,Endeavour,"Time of use with controlled load","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",31.21,94.25,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,4.85,11.16,4.85,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the Endeavourelectricity distribution area.",,,$15.00,,7.27,0.60%,,,,$38.09,$12.73,,,,5.5,$75
electricity-offer-140327-fact-sheet-pdf-2000.pdf,2000,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140327MS,"Small Business",Electricity,Ausgrid,"Time of use","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",43.23,153.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the Ausgridelectricity distribution area.",,,$15.00,,7.27,0.60%,,,,$11.04,$12.73,,,,5.5,$75
electricity-offer-140328-fact-sheet-pdf-2000.pdf,2000,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140328MS,"Small Business",Electricity,Ausgrid,"Time of use with controlled load","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",43.23,153.75,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,0.00,11.33,0.00,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the Ausgridelectricity distribution area.",,,$15.00,,7.27,0.60%,,,,$11.04,$12.73,,,,100,$75
electricity-offer-140329-fact-sheet-pdf-2576.pdf,2576,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140329MS,"Small Business",Electricity,Endeavour,"Time of use","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",31.21,94.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the Endeavourelectricity distribution area and is available to solar customers. For solar feed-in tariff eligibilitycriteria visit aglsolarenergy.com.au/solar-power/solar-power-feed-in-tariffs",,,$15.00,,7.27,0.60%,,,,$38.09,$12.73,,,,5.5,
electricity-offer-140330-fact-sheet-pdf-2576.pdf,2576,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140330MS,"Small Business",Electricity,Endeavour,"Time of use with controlled load","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",31.21,94.25,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,4.85,11.16,4.85,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the Endeavourelectricity distribution area. For solar feed-in tariff eligibility criteria visitaglsolarenergy.com.au/solar-power/solar-power-feed-in-tariffs",,,$15.00,,7.27,0.60%,,,,$38.09,$12.73,,,,5.5,
electricity-offer-140333-fact-sheet-pdf-2000.pdf,2000,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140333MS,"Small Business",Electricity,Ausgrid,"Time of use with controlled load","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",43.23,153.75,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,0.00,11.33,0.00,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the Ausgridelectricity distribution area. For solar feed-in tariff eligibility criteria visitaglsolarenergy.com.au/solar-power/solar-power-feed-in-tariffs",,,$15.00,,7.27,0.60%,,,,$11.04,$12.73,,,,5.5,
electricity-offer-140334-fact-sheet-pdf-2000.pdf,2000,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140334MS,"Small Business",Electricity,Ausgrid,"Time of use","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",43.23,153.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the Ausgridelectricity distribution area. For solar feed-in tariff eligibility criteria visitaglsolarenergy.com.au/solar-power/solar-power-feed-in-tariffs",,,$15.00,,7.27,0.60%,,,,$11.04,$12.73,,,,5.5,
electricity-offer-140343-fact-sheet-pdf-2340.pdf,2340,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140343MS,"Small Business",Electricity,"Essential Energy","Time of use","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",30.32,614.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the EssentialEnergy electricity distribution area. Monthly e-billing is a mandatory requirement for this energyplan.",,,$15.00,,7.27,0.60%,,,,$88.71,$12.73,,,,5.5,$75
electricity-offer-140345-fact-sheet-pdf-2340.pdf,2340,AGL,"AGL Business Savers - New South Wales small business electricity market offer",AGL140345MS,"Small Business",Electricity,"Essential Energy","Time of use","Market offer",10-Feb-2016,"Ongoing contract with benefit period","Your market contract has no contract term. However, at the end of your 2 year benefit period, youwill be placed on a new energy plan. We will notify you if there are any differences between theseplans.","Every 3 months",30.32,614.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20% Guaranteed Discount",20%,,No,"This energy offer applies to small business customers in New South Wales within the EssentialEnergy electricity distribution area and is available to solar customers. Monthly e-billing is amandatory requirement for this energy plan.",,,$15.00,,7.27,0.60%,,,,$88.71,$12.73,,,,5.5,
electricity-offer-140686-fact-sheet-pdf-2576.pdf,2576,"Click Energy","Click Shine - Domestic & Controlled load 1",CLI140686MR,Residential,Electricity,Endeavour,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,85.571,23.807,23.093,,,,21.427,,,,,,,,,,,,,,,1000,750,,,,7.293,0.00,,,,"7% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Endeavour distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$188.70,$38.09,,,$12.00,,,,,
electricity-offer-140687-fact-sheet-pdf-2576.pdf,2576,"Click Energy","Click Shine Saver - Domestic",CLI140687MR,Residential,Electricity,Endeavour,"Single rate","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,79.511,23.807,23.093,,,,21.427,,,,,,,,,,,,,,,1000,750,,,,,,,,,"15% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Endeavour distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$188.70,$38.09,,,$12.00,,,,,
electricity-offer-140688-fact-sheet-pdf-2576.pdf,2576,"Click Energy","Click Shine Saver - Domestic & Controlled load 1",CLI140688MR,Residential,Electricity,Endeavour,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,85.571,23.807,23.093,,,,21.427,,,,,,,,,,,,,,,1000,750,,,,7.293,0.00,,,,"15% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Endeavour distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$188.70,$38.09,,,$12.00,,,,,
electricity-offer-140689-fact-sheet-pdf-2576.pdf,2576,"Click Energy","Click Shine Saver - Domestic & Controlled load 2",CLI140689MR,Residential,Electricity,Endeavour,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,85.571,23.807,23.093,,,,21.427,,,,,,,,,,,,,,,1000,750,,,,,,12.546,0.00,,"15% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Endeavour distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$188.70,$38.09,,,$12.00,,,,,
electricity-offer-140690-fact-sheet-pdf-2576.pdf,2576,"Click Energy","Click Shine Saver - Domestic TOU",CLI140690MR,Residential,Electricity,Endeavour,"Time of use","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",32.64,99.99,,,,,,,32.64,26.52,13.668,,,,,,,,,,,,,,,,,,,,,,"15% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Endeavour distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$188.70,$38.09,,,$12.00,,,,,
electricity-offer-140691-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Shine Saver - Domestic & Controlled load 2",CLI140691MR,Residential,Electricity,"Essential Energy","Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,160.396,23.97,23.511,,,,23.287,,,,,,,,,,,,,,,10.98901099,8.241758242,,,,,,16.065,0.00,"per day","15% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above. Property must be main place of residency. Only one Click Shineplan applicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,,
electricity-offer-140692-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Shine Saver - Domestic",CLI140692MR,Residential,Electricity,"Essential Energy","Single rate","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,144.912,23.97,23.511,,,,23.287,,,,,,,,,,,,,,,10.98901099,8.241758242,,,,,,,,"per day","15% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above. Property must be main place of residency. Only one Click Shineplan applicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,,
electricity-offer-140693-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Shine Saver - Domestic & Controlled load 1",CLI140693MR,Residential,Electricity,"Essential Energy","Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,160.396,23.97,23.511,,,,23.287,,,,,,,,,,,,,,,10.98901099,8.241758242,,,,11.526,0.00,,,"per day","15% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above. Property must be main place of residency. Only one Click Shineplan applicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,,
electricity-offer-140694-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Shine Saver - Domestic TOU",CLI140694MR,Residential,Electricity,"Essential Energy","Time of use","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",28.662,144.98,,,,,,,28.662,28.662,15.096,,,,,,,,,,,,,,,,,,,,,,"15% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above. Property must be main place of residency. Only one Click Shineplan applicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,,
electricity-offer-140695-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Shine - Domestic",CLI140695MR,Residential,Electricity,"Essential Energy","Single rate","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,144.912,23.97,23.511,,,,23.287,,,,,,,,,,,,,,,10.98901099,8.241758242,,,,,,,,"per day","7% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above. Property must be main place of residency. Only one Click Shineplan applicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,,
electricity-offer-140696-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Shine - Domestic TOU",CLI140696MR,Residential,Electricity,"Essential Energy","Time of use","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",28.662,144.98,,,,,,,28.662,28.662,15.096,,,,,,,,,,,,,,,,,,,,,,"7% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above. Property must be main place of residency. Only one Click Shineplan applicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,,
electricity-offer-140697-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Shine - Domestic & Controlled load 2",CLI140697MR,Residential,Electricity,"Essential Energy","Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,160.396,23.97,23.511,,,,23.287,,,,,,,,,,,,,,,10.98901099,8.241758242,,,,,,16.065,0.00,"per day","7% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above. Property must be main place of residency. Only one Click Shineplan applicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,,
electricity-offer-140698-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Shine - Domestic & Controlled load 1",CLI140698MR,Residential,Electricity,"Essential Energy","Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",,160.396,23.97,23.511,,,,23.287,,,,,,,,,,,,,,,10.98901099,8.241758242,,,,11.526,0.00,,,"per day","7% discount on usage and supply charges (netof solar export)",2.00%,"Usage charges",,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above. Property must be main place of residency. Only one Click Shineplan applicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,,
electricity-offer-140699-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine - Tariff 11 only",CLI140699MR,Residential,Electricity,Energex,"Single rate","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",24.724,138.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7% discount on usage and supply charges (netof solar export)",11.18%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140700-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine - Tariff 11 and Tariff 31 (Night rate)",CLI140700MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",24.724,141.44,,,,,,,,,,,,,,,,,,,,,,,,,,13.84,0.00,,,,"7% discount on usage and supply charges (netof solar export)",11.18%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140701-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine - Tariff 11 and Tariff 33 (Controlled Supply)",CLI140701MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",24.724,141.44,,,,,,,,,,,,,,,,,,,,,,,,,,20.982,0.00,,,,"7% discount on usage and supply charges (netof solar export)",11.18%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140702-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine - Tariff 11 and Tariff 31 (Night Rate) and Tariff 33 (Controlled Supply)",CLI140702MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",24.724,144.878,,,,,,,,,,,,,,,,,,,,,,,,,,13.84,0.00,,,,"7% discount on usage and supply charges (netof solar export)",11.18%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140703-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine - Tariff 12 only",CLI140703MR,Residential,Electricity,Energex,"Time of use","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",33.182,138.001,,,,,,,33.182,23.487,18.08,,,,,,,,,,,,,,,,,,,,,,"7% discount on usage and supply charges (netof solar export)",11.18%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140706-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Budget - Tariff 11 and Tariff 31 (Night rate)",CLI140706MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",24.271,141.44,,,,,,,,,,,,,,,,,,,,,,,,,,13.586,0.00,,,,"15% discount on usage and supply charges (netof solar export)",9.14%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140707-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Budget - Tariff 12 only",CLI140707MR,Residential,Electricity,Energex,"Time of use","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",32.573,138.001,,,,,,,32.573,23.056,17.748,,,,,,,,,,,,,,,,,,,,,,"15% discount on usage and supply charges (netof solar export)",9.14%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140708-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Budget - Tariff 11 and Tariff 33 (Controlled Supply)",CLI140708MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",24.271,141.44,,,,,,,,,,,,,,,,,,,,,,,,,,20.597,0.00,,,,"15% discount on usage and supply charges (netof solar export)",9.14%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140709-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Budget - Tariff 11 only",CLI140709MR,Residential,Electricity,Energex,"Single rate","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",24.271,138.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15% discount on usage and supply charges (netof solar export)",9.14%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140710-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Budget - Tariff 11 and Tariff 31 (Night Rate) and Tariff 33 (Controlled Supply)",CLI140710MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",24.271,144.878,,,,,,,,,,,,,,,,,,,,,,,,,,13.586,0.00,,,,"15% discount on usage and supply charges (netof solar export)",9.14%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140711-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Reward - Tariff 11 and Tariff 31 (Night Rate) and Tariff 33 (Controlled Supply)",CLI140711MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",25.405,144.878,,,,,,,,,,,,,,,,,,,,,,,,,,14.221,0.00,,,,"5% discount on usage and supply charges (netof solar export)",14.24%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140712-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Reward - Tariff 11 and Tariff 31 (Night rate)",CLI140712MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",25.405,141.44,,,,,,,,,,,,,,,,,,,,,,,,,,14.221,0.00,,,,"5% discount on usage and supply charges (netof solar export)",14.24%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140713-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Reward - Tariff 12 only",CLI140713MR,Residential,Electricity,Energex,"Time of use","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",34.095,138.001,,,,,,,34.095,24.133,18.578,,,,,,,,,,,,,,,,,,,,,,"5% discount on usage and supply charges (netof solar export)",14.24%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140714-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Reward - Tariff 11 and Tariff 33 (Controlled Supply)",CLI140714MR,Residential,Electricity,Energex,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",25.405,141.44,,,,,,,,,,,,,,,,,,,,,,,,,,21.559,0.00,,,,"5% discount on usage and supply charges (netof solar export)",14.24%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140715-fact-sheet-pdf-4000.pdf,4000,"Click Energy","Click Shine Reward - Tariff 11 only",CLI140715MR,Residential,Electricity,Energex,"Single rate","Market offer",11-Feb-2016,"No contract term",0,"Every 1 month",25.405,138.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5% discount on usage and supply charges (netof solar export)",14.24%,"Usage charges",,,,No,"This offer applies to a residential customer in the Energex distribution area with the meteringconfiguration listed above. Property must be main place of residency. Only one Click Shine planapplicable per property. Solar panel system must be no larger than 5kW.",,,,,,0.60%,,,,,$12.00,,,,,
electricity-offer-140853-fact-sheet-pdf-2576.pdf,2576,"Click Energy","Click Natural - Domestic",CLI140853MR,Residential,Electricity,Endeavour,"Single rate","Market offer",11-Feb-2016,"No contract term",0,"Every 3 months",,78.724,23.34,22.64,,,,21.007,,,,,,,,,,,,,,,1000,750,,,,,,,,,,,,,,,No,"This offer applies to a residential customer in the Endeavour Energy distribution area with themetering configuration listed above.",,,,,,0.60%,$188.70,$38.09,,,$12.00,,,,25,
electricity-offer-140854-fact-sheet-pdf-2576.pdf,2576,"Click Energy","Click Natural - Domestic & Controlled load 1",CLI140854MR,Residential,Electricity,Endeavour,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 3 months",,84.724,23.34,22.64,,,,21.007,,,,,,,,,,,,,,,1000,750,,,,7.15,0.00,,,,,,,,,,No,"This offer applies to a residential customer in the Endeavour Energy distribution area with themetering configuration listed above.",,,,,,0.60%,$188.70,$38.09,,,$12.00,,,,25,
electricity-offer-140855-fact-sheet-pdf-2576.pdf,2576,"Click Energy","Click Natural - Domestic & Controlled load 2",CLI140855MR,Residential,Electricity,Endeavour,"Single rate with controlled load","Market offer",11-Feb-2016,"No contract term",0,"Every 3 months",,84.724,23.34,22.64,,,,21.007,,,,,,,,,,,,,,,1000,750,,,,,,12.30,0.00,,,,,,,,No,"This offer applies to a residential customer in the Endeavour Energy distribution area with themetering configuration listed above.",,,,,,0.60%,$188.70,$38.09,,,$12.00,,,,25,
electricity-offer-140856-fact-sheet-pdf-2340.pdf,2340,"Click Energy","Click Natural - Domestic",CLI140856MR,Residential,Electricity,"Essential Energy","Single rate","Market offer",11-Feb-2016,"No contract term",0,"Every 3 months",,134.178,23.50,23.05,,,,22.83,,,,,,,,,,,,,,,10.98901099,8.241758242,,,,,,,,"per day",,,,,,,No,"This offer applies to a residential customer in the Essential Energy distribution area with themetering configuration listed above.",,,,,,0.60%,$134.42,$88.72,,,$12.00,,,,25,
